mock_id,efftv_bgn_dt,SUB_TYP_CD,frequency,freq_cd,dol_am
1,45180,AIP ,12,M   ,100
2,43774,AWP ,1,A   ,561.11
3,44570,AIP ,12,M   ,195
4,44747,AWP ,12,M   ,524.46
5,45425,AWP ,1,A   ,255.21
6,44288,AIP ,26,B   ,100
7,45396,AWP ,4,Q   ,1597.61
8,40764,AIP ,52,W   ,125
9,45184,AWP ,4,Q   ,4538.01
10,44151,AIP ,26,B   ,275
11,45236,AWP ,1,A   ,8387.27
12,44797,AIP ,12,M   ,300
13,45344,AWP ,12,M   ,2576.88
14,43171,AIP ,26,B   ,60
15,39324,AIP ,12,M   ,50
16,45417,AWP ,12,M   ,7729.23
17,45313,AIP ,12,M   ,100
18,45068,AIP ,26,B   ,200
19,40546,AIP ,12,M   ,700
20,44931,AIP ,12,M   ,625
21,44564,AIP ,24,S   ,333.33
22,44444,AIP ,12,M   ,1500
23,44562,AIP ,12,M   ,250
24,44303,AIP ,12,M   ,300
25,44900,AWP ,1,A   ,11637.62
26,43286,AWP ,12,M   ,400
27,45641,AWP ,1,A   ,86.2
28,45380,AIP ,12,M   ,1000
29,45327,AWP ,12,M   ,3282.26
30,43838,AWP ,1,A   ,1857.07
31,44494,AIP ,12,M   ,3150
32,43577,AIP ,52,W   ,120
33,45056,AWP ,1,A   ,8089.53
34,44910,AWP ,1,A   ,2358.59
35,44545,AWP ,1,A   ,744.21
36,44136,AWP ,12,M   ,500
37,45139,AWP ,12,M   ,500
38,45206,AWP ,1,A   ,2273.84
39,44440,AIP ,52,W   ,70
40,44819,AWP ,1,A   ,3071.78
41,44586,AWP ,2,X   ,415.34
42,45392,AIP ,24,S   ,750
43,44936,AWP ,12,M   ,348.51
44,43009,AIP ,12,M   ,25
45,40870,AWP ,1,A   ,655.32
46,42917,AWP ,12,M   ,533.33
47,39624,AIP ,12,M   ,58.33
48,45200,AIP ,12,M   ,1700
49,45342,AWP ,1,A   ,4222.31
50,41911,AWP ,4,Q   ,275
51,44501,AIP ,12,M   ,666.66
52,43444,AWP ,1,A   ,3000
53,45200,AIP ,12,M   ,1000
54,45103,AIP ,52,W   ,2500
55,45097,AIP ,52,W   ,50
56,45344,AIP ,12,M   ,10892.45
57,44927,AIP ,12,M   ,250
58,45621,AWP ,1,A   ,2120.04
59,45044,AIP ,52,W   ,125
60,44440,AIP ,12,M   ,250
61,41974,AWP ,1,A   ,681.73
62,44895,AIP ,12,M   ,150
63,43903,AIP ,12,M   ,400
64,44962,AWP ,12,M   ,1000
65,45641,AWP ,1,A   ,60636.07
66,45198,AIP ,24,S   ,500
67,45329,AIP ,12,M   ,100
68,44210,AIP ,12,M   ,100
69,44786,AWP ,12,M   ,300
70,43102,AIP ,12,M   ,200
71,45139,AIP ,12,M   ,25
72,45646,AWP ,1,A   ,6212.24
73,45117,AIP ,26,B   ,625
74,44788,AIP ,12,M   ,250
75,43367,AIP ,26,B   ,200
76,45293,AIP ,24,S   ,291.66
77,44686,AIP ,24,S   ,291.66
78,43514,AIP ,12,M   ,350
79,44256,AIP ,12,M   ,200
80,44008,AIP ,12,M   ,50
81,39783,AWP ,1,A   ,5226.72
82,44017,AIP ,12,M   ,83.33
83,44203,AWP ,1,A   ,6633.95
84,44517,AIP ,12,M   ,250
85,40522,AIP ,12,M   ,75
86,44870,AWP ,1,A   ,125.6
87,43130,AIP ,12,M   ,583.33
88,44918,AWP ,1,A   ,4328.4
89,45404,AIP ,52,W   ,80
90,45047,AIP ,52,W   ,132.07
91,45282,AIP ,26,B   ,300
92,44708,AWP ,12,M   ,2345
93,41341,AIP ,12,M   ,100
94,44336,AIP ,52,W   ,25
95,45035,AWP ,1,A   ,316.99
96,43373,AIP ,12,M   ,500
97,44900,AWP ,1,A   ,19384
98,43631,AWP ,12,M   ,400
99,44900,AWP ,1,A   ,8591.89
100,44202,AIP ,12,M   ,583.33